日期,平均地溫100cm(℃),平均地溫10cm(℃),平均地溫20cm(℃),平均地溫50cm(℃),平均地溫5cm(℃),平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),日最低氣壓(hPa),日最高氣壓(hPa),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量起始時間,最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,累積日射量(MJm2),累積日照時數(hr),累積蒸發量(mm),累計雨量(mm)
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-21,19.3,18.8,18.6,18.6,18.7,1007.9,17.8,88,15.7,360.0,1.4,1005.0,1010.0,2012-02-21 17:00:00,14.9,2012-02-21 03:00:00,77,2012-02-21 14:00:00,,,315.0,4.7,2012-02-21 01:00:00,21.6,2012-02-21 15:00:00,,0.1,1.0,0.0
2012-02-22,19.3,19.7,19.5,19.0,19.8,1004.0,21.8,81,18.2,360.0,1.6,1001.0,1006.0,2012-02-22 16:00:00,17.0,2012-02-22 07:00:00,64,2012-02-22 16:00:00,,,270.0,6.4,2012-02-22 01:00:00,27.4,2012-02-22 16:00:00,,8.8,0.4,0.0
2012-02-23,19.5,20.6,20.4,19.6,20.7,1002.8,22.8,90,21.0,292.5,1.7,1001.0,1004.0,2012-02-23 16:00:00,20.1,2012-02-23 04:00:00,70,2012-02-23 12:00:00,,,337.5,10.0,2012-02-23 01:00:00,29.1,2012-02-23 12:00:00,,3.1,0.3,28.0
2012-02-24,19.8,20.5,20.5,20.0,20.4,1003.8,18.2,95,17.4,337.5,2.3,1002.0,1006.0,2012-02-24 15:00:00,16.4,2012-02-24 05:00:00,91,2012-02-24 15:00:00,,,360.0,6.1,2012-02-24 10:00:00,22.6,2012-02-24 15:00:00,,0.7,1.3,10.0
2012-02-25,19.9,19.9,19.9,19.9,19.7,1004.7,16.8,91,15.4,360.0,2.6,1002.0,1006.0,2012-02-25 05:00:00,14.3,2012-02-25 23:59:59,84,2012-02-25 14:00:00,,,270.0,7.1,2012-02-25 08:00:00,19.9,2012-02-25 14:00:00,,0.6,0.0,11.0
2012-02-26,19.9,18.8,19.0,19.5,18.5,1008.0,13.6,89,11.8,360.0,2.8,1006.0,1010.0,2012-02-26 01:00:00,12.7,2012-02-26 23:00:00,86,2012-02-26 10:00:00,,,22.5,7.9,2012-02-26 22:00:00,14.8,2012-02-26 01:00:00,,0.0,0.0,3.5
2012-02-27,19.8,18.0,18.1,18.9,17.7,1008.4,13.4,91,12.0,360.0,1.8,1006.0,1011.0,2012-02-27 17:00:00,12.3,2012-02-27 02:00:00,87,2012-02-27 01:00:00,,,360.0,5.9,2012-02-27 09:00:00,15.0,2012-02-27 17:00:00,,0.0,0.0,3.0
2012-02-28,19.5,17.6,17.6,18.4,17.3,1006.4,13.6,95,12.8,360.0,2.7,1005.0,1009.0,2012-02-28 03:00:00,12.6,2012-02-28 05:00:00,92,2012-02-28 15:00:00,,,360.0,12.6,2012-02-28 11:00:00,16.5,2012-02-28 15:00:00,,0.0,0.0,18.5
2012-02-29,19.2,17.8,17.7,18.1,17.8,1007.1,16.3,88,14.1,337.5,1.7,1005.0,1009.0,2012-02-29 15:00:00,12.2,2012-02-29 03:00:00,71,2012-02-29 16:00:00,,,315.0,5.5,2012-02-29 10:00:00,22.4,2012-02-29 16:00:00,,5.9,1.3,0.0
2012-03-01,19.1,19.0,18.8,18.4,19.1,1007.5,19.6,84,16.7,337.5,1.6,1005.0,1010.0,2012-03-01 16:00:00,14.2,2012-03-01 04:00:00,67,2012-03-01 13:00:00,,,360.0,5.8,2012-03-01 08:00:00,27.1,2012-03-01 14:00:00,,5.9,1.3,0.0
2012-03-02,19.2,19.9,19.8,19.0,20.0,1006.7,21.5,84,18.4,315.0,1.9,1005.0,1009.0,2012-03-02 15:00:00,15.7,2012-03-02 06:00:00,63,2012-03-02 16:00:00,,,337.5,6.8,2012-03-02 10:00:00,28.4,2012-03-02 15:00:00,,5.9,1.3,0.0
2012-03-03,19.4,20.4,20.3,19.5,20.4,1007.5,19.3,85,16.5,337.5,2.4,1006.0,1010.0,2012-03-03 02:00:00,16.6,2012-03-03 20:00:00,64,2012-03-03 15:00:00,,,315.0,6.6,2012-03-03 10:00:00,27.7,2012-03-03 15:00:00,,5.9,1.3,0.0
2012-03-04,19.6,20.6,20.5,19.8,20.7,1006.5,20.8,83,17.6,337.5,1.6,1004.0,1008.0,2012-03-04 16:00:00,15.9,2012-03-04 04:00:00,64,2012-03-04 16:00:00,,,360.0,6.6,2012-03-04 01:00:00,27.8,2012-03-04 13:00:00,,5.9,1.3,0.0
2012-03-05,19.8,21.1,21.0,20.1,21.2,1003.2,23.8,79,19.6,202.5,2.0,1001.0,1005.0,2012-03-05 14:00:00,18.3,2012-03-05 04:00:00,54,2012-03-05 13:00:00,,,337.5,10.1,2012-03-05 01:00:00,31.6,2012-03-05 14:00:00,,5.9,1.3,0.0
2012-03-06,20.0,21.8,21.6,20.5,21.9,1003.5,23.4,81,19.8,315.0,2.1,1001.0,1005.0,2012-03-06 16:00:00,17.8,2012-03-06 23:00:00,61,2012-03-06 15:00:00,,,337.5,7.0,2012-03-06 08:00:00,29.7,2012-03-06 15:00:00,,5.9,1.3,0.0
2012-03-07,20.3,21.6,21.5,20.9,21.5,1003.4,19.6,81,16.2,337.5,2.5,1001.0,1005.0,2012-03-07 17:00:00,15.9,2012-03-07 23:59:59,66,2012-03-07 16:00:00,,,337.5,7.4,2012-03-07 10:00:00,26.6,2012-03-07 16:00:00,,5.9,1.3,0.0
2012-03-08,20.5,20.9,20.9,20.7,20.8,1004.0,18.2,83,15.2,337.5,2.3,1002.0,1006.0,2012-03-08 16:00:00,15.6,2012-03-08 23:59:59,70,2012-03-08 13:00:00,,,337.5,7.7,2012-03-08 10:00:00,22.9,2012-03-08 13:00:00,,5.9,1.3,0.0
2012-03-09,20.6,20.2,20.2,20.5,19.9,1006.8,15.4,86,13.0,337.5,2.9,1005.0,1009.0,2012-03-09 15:00:00,13.5,2012-03-09 08:00:00,79,2012-03-09 17:00:00,,,360.0,7.1,2012-03-09 23:00:00,18.4,2012-03-09 17:00:00,,5.9,1.3,0.5
2012-03-10,20.5,19.2,19.2,19.9,18.8,1009.4,13.5,86,11.2,337.5,2.7,1008.0,1011.0,2012-03-10 04:00:00,12.4,2012-03-10 07:00:00,82,2012-03-10 10:00:00,,,360.0,6.7,2012-03-10 09:00:00,15.7,2012-03-10 16:00:00,,5.9,1.3,1.0
