type,month,crop,variety,county,town
水果,1,椪柑,,苗栗縣,卓蘭鎮
水果,1,椪柑,,台中市,東勢區
水果,1,椪柑,,雲林縣,古坑鄉
水果,1,椪柑,,嘉義縣,番路鄉
水果,1,椪柑,,嘉義縣,梅山鄉
水果,1,椪柑,,嘉義縣,竹崎鄉
水果,1,椪柑,,台南市,東山區
水果,1,番荔枝,大麟種、軟枝種,台南市,歸仁區
水果,1,番荔枝,大麟種、軟枝種,台東縣,太麻里鄉
水果,1,番荔枝,大麟種、軟枝種,台東縣,卑南鄉
水果,1,番荔枝,大麟種、軟枝種,台東縣,東河鄉
水果,1,番荔枝,大麟種、軟枝種,台東縣,台東市
水果,1,番荔枝,鳳梨釋迦,台東縣,台東市
水果,1,番荔枝,鳳梨釋迦,台東縣,東河鄉
水果,1,番荔枝,鳳梨釋迦,台東縣,卑南鄉
水果,1,番荔枝,鳳梨釋迦,台東縣,太麻里鄉
水果,1,楊桃,馬來種、二林種、秤錘種、青乾種、紅龍、台農2號,苗栗縣,卓蘭鎮
水果,1,楊桃,馬來種、二林種、秤錘種、青乾種、紅龍、台農2號,台南市,楠西區
水果,1,楊桃,馬來種、二林種、秤錘種、青乾種、紅龍、台農2號,屏東縣,里港鄉
水果,1,番石榴,珍珠種、世紀種,彰化縣,社頭鄉
水果,1,番石榴,珍珠種、世紀種,彰化縣,溪州鄉
水果,1,番石榴,珍珠種、世紀種,台南市,玉井區
水果,1,番石榴,珍珠種、世紀種,台南市,楠西區
水果,1,番石榴,珍珠種、世紀種,高雄市,大社區
水果,1,番石榴,珍珠種、世紀種,高雄市,阿蓮區
水果,1,番石榴,珍珠種、世紀種,高雄市,燕巢區
水果,1,柳橙,,南投縣,中寮鄉
水果,1,柳橙,,雲林縣,斗南鎮
水果,1,柳橙,,雲林縣,古坑鄉
水果,1,柳橙,,嘉義縣,番路鄉
水果,1,柳橙,,嘉義縣,梅山鄉
水果,1,柳橙,,嘉義縣,竹崎鄉
水果,1,柳橙,,嘉義縣,中埔鄉
水果,1,柳橙,,嘉義縣,民雄鄉
水果,1,柳橙,,嘉義縣,大林鎮
水果,1,柳橙,,台南市,白河區
水果,1,柳橙,,台南市,六甲區
水果,1,柳橙,,台南市,大內區
水果,1,柳橙,,台南市,南化區
水果,1,柳橙,,台南市,官田區
水果,1,蓮霧,粉紅種及大粒種,高雄市,六龜區
水果,1,蓮霧,粉紅種及大粒種,屏東縣,新埤鄉
水果,1,蓮霧,粉紅種及大粒種,屏東縣,南州鄉
水果,1,蓮霧,粉紅種及大粒種,屏東縣,林邊鄉
水果,1,蓮霧,粉紅種及大粒種,屏東縣,佳冬鄉
水果,1,蓮霧,粉紅種及大粒種,屏東縣,枋寮鄉
水果,1,蓮霧,粉紅種及大粒種,屏東縣,高樹鄉
水果,1,蓮霧,粉紅種及大粒種,屏東縣,鹽埔鄉
水果,1,蓮霧,粉紅種及大粒種,屏東縣,長治鄉
水果,1,蓮霧,粉紅種及大粒種,屏東縣,麟洛鄉
水果,1,蓮霧,粉紅種及大粒種,屏東縣,內埔鄉
水果,1,蓮霧,粉紅種及大粒種,屏東縣,潮州鎮
