年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸
2019,新北市,香蕉,108619,102262,74.99,71.01,13.74,19793.48,1405.535
2019,台北市,香蕉,12830,12830,10.36,10.36,12.55,15543.15,161.027
2019,桃園市,香蕉,44420,43940,57.11,56.47,18.85,14666.65,828.226
2019,台中市,香蕉,574129,560455,629.71,614.39,15.54,14178.52,8711.141
2019,台南市,香蕉,1481610,1476420,1062.65,1057.46,16.26,22703.58,24008.13
2019,高雄市,香蕉,3874181,3806097,2155.98,2117.37,13.76,24739.26,52382.173
2019,臺灣省,香蕉,SUM(D9:D22),SUM(E9:E22),SUM(F9:F22),SUM(G9:G22),"IF(E8=0,0,ROUND(J8/E8*1000,2))","IF(G8=0,0,ROUND(J8/G8*1000,2))",SUM(J9:J22)
2019,宜蘭縣,香蕉,170454,168384,114.1,112.72,18.05,26956.74,3038.564
2019,新竹縣,香蕉,154451,153659,107.42,106.89,12.28,17655.75,1887.223
2019,苗栗縣,香蕉,151576,151576,115.54,115.54,19.05,24988.74,2887.199
2019,彰化縣,香蕉,197594,194955,132.91,131.2,16.22,24100.68,3162.009
2019,南投縣,香蕉,3817700,3803870,3118.81,3108.11,15.67,19174.86,59597.578
2019,雲林縣,香蕉,1218031,1103495,674.57,613.61,16.51,29696.71,18222.2
2019,嘉義縣,香蕉,4160750,4082037,2658.58,2608.03,14.65,22923.44,59785.017
2019,屏東縣,香蕉,7059538,5510250,4124.81,3219.63,15.65,26783.11,86231.694
2019,台東縣,香蕉,826426,796771,559.82,539.79,14.45,21323.32,11510.116
2019,花蓮縣,香蕉,1049888,567244,681.87,369.72,13.2,20251.62,7487.43
2019,澎湖縣,香蕉,2571,2571,2.6,2.6,16.47,16286.92,42.346
2019,基隆市,香蕉,5228,5228,3.98,3.98,9.57,12575.63,50.051
2019,新竹市,香蕉,9597,8349,6.15,5.35,10.91,17021.5,91.065
2019,嘉義市,香蕉,73440,73440,48.96,48.96,15.31,22958.03,1124.025
2019,福建省,香蕉,SUM(D24:D25),SUM(E24:E25),SUM(F24:F25),SUM(G24:G25),"IF(E23=0,0,ROUND(J23/E23*1000,2))","IF(G23=0,0,ROUND(J23/G23*1000,2))",SUM(J24:J25)
2019,金門縣,香蕉,1600,1600,0.8,0.8,9.9,19792.5,15.834
2019,連江縣,香蕉,0,0,0,0,0,0,0
2019,新北市,鳳梨,72196,44500,2.61,1.65,1,26869.7,44.335
2019,台北市,鳳梨,0,0,0,0,0,0,0
2019,桃園市,鳳梨,2900,2280,0.1,0.08,1.18,33650,2.692
2019,台中市,鳳梨,5030287,4484837,145.14,129.24,1.37,47638.13,6156.752
2019,台南市,鳳梨,60682552,44679852,1761.48,1299.79,1.56,53561.26,69618.392
2019,高雄市,鳳梨,54331641,37955764,1509.28,1054.05,1.46,52500.97,55338.643
2019,臺灣省,鳳梨,SUM(D33:D46),SUM(E33:E46),SUM(F33:F46),SUM(G33:G46),"IF(E32=0,0,ROUND(J32/E32*1000,2))","IF(G32=0,0,ROUND(J32/G32*1000,2))",SUM(J33:J46)
2019,宜蘭縣,鳳梨,1077950,781300,40.75,28.89,1.16,31453.55,908.693
2019,新竹縣,鳳梨,1400,800,0.07,0.04,1,20000,0.8
2019,苗栗縣,鳳梨,59402,59402,2,2,1.15,34229,68.458
2019,彰化縣,鳳梨,9047480,6145590,260.16,176.86,1.45,50283.52,8893.144
2019,南投縣,鳳梨,45179475,30568525,1285.07,870.29,1.77,62164.77,54101.381
2019,雲林縣,鳳梨,30485414,16756200,892.71,488.33,1.56,53501.22,26126.253
2019,嘉義縣,鳳梨,54929616,37120907,1552.87,1046,1.57,55573.02,58129.382
2019,屏東縣,鳳梨,138055010,98725250,3509.81,2511.09,1.3,51084.24,128277.115
2019,台東縣,鳳梨,12991412,12087835,369.64,343.96,1.1,38799.98,13345.642
2019,花蓮縣,鳳梨,10201863,8793617,260.18,223.84,0.84,32888.43,7361.746
2019,澎湖縣,鳳梨,3000,3000,0.1,0.1,0.9,27000,2.7
2019,基隆市,鳳梨,500,500,0.02,0.02,1.5,37500,0.75
2019,新竹市,鳳梨,0,0,0,0,0,0,0
2019,嘉義市,鳳梨,2931112,2196323,83.77,62.77,1.23,43129.63,2707.247
2019,福建省,鳳梨,SUM(D48:D49),SUM(E48:E49),SUM(F48:F49),SUM(G48:G49),"IF(E47=0,0,ROUND(J47/E47*1000,2))","IF(G47=0,0,ROUND(J47/G47*1000,2))",SUM(J48:J49)
2019,金門縣,鳳梨,0,0,0,0,0,0,0
2019,連江縣,鳳梨,0,0,0,0,0,0,0
2019,新北市,椪柑,548,486,1.09,0.93,16.51,8625.81,8.022
2019,台北市,椪柑,1598,1598,6.53,6.53,29.38,7188.82,46.943
2019,桃園市,椪柑,871,871,1.93,1.93,37.29,16829.02,32.48
2019,台中市,椪柑,530215,530215,1374.57,1374.57,45.82,17672.51,24292.1
2019,台南市,椪柑,390910,390810,901.96,901.76,69.68,30199.87,27233.033
2019,高雄市,椪柑,426,422,1.05,1.04,25.29,10260.58,10.671
2019,臺灣省,椪柑,SUM(D57:D70),SUM(E57:E70),SUM(F57:F70),SUM(G57:G70),"IF(E56=0,0,ROUND(J56/E56*1000,2))","IF(G56=0,0,ROUND(J56/G56*1000,2))",SUM(J57:J70)
2019,宜蘭縣,椪柑,2932,2932,6.46,6.46,34.37,15601.24,100.784
2019,新竹縣,椪柑,90278,90053,226.1,225.6,34.69,13848.59,3124.242
